"cellType","ensemblID","geneSet","symbol"
"neutrophil","ENSG00000069399","neut3","BCL3"
"neutrophil","ENSG00000069974","neut2","RAB27A"
"neutrophil","ENSG00000070269","neut2","TMEM260"
"neutrophil","ENSG00000070495","neut3","JMJD6"
"neutrophil","ENSG00000070501","neut6","POLB"
"neutrophil","ENSG00000070759","neut3","TESK2"
"neutrophil","ENSG00000070831","neut6","CDC42"
"neutrophil","ENSG00000070961","neut4","ATP2B1"
"neutrophil","ENSG00000071054","neut3","MAP4K4"
"neutrophil","ENSG00000072110","neut1","ACTN1"
"neutrophil","ENSG00000072401","neut2","UBE2D1"
"neutrophil","ENSG00000072609","neut3","CHFR"
"neutrophil","ENSG00000072786","neut1","STK10"
"neutrophil","ENSG00000072864","neut1","NDE1"
"neutrophil","ENSG00000072952","neut1","MRVI1"
"neutrophil","ENSG00000073331","neut2","ALPK1"
"neutrophil","ENSG00000073614","neut2","KDM5A"
"neutrophil","ENSG00000073756","neut1","PTGS2"
"neutrophil","ENSG00000073921","neut2","PICALM"
"neutrophil","ENSG00000074319","neut6","TSG101"
"neutrophil","ENSG00000074660","neut3","SCARF1"
"neutrophil","ENSG00000075399","neut3","VPS9D1"
"neutrophil","ENSG00000075413","neut2","MARK3"
"neutrophil","ENSG00000075420","neut4","FNDC3B"
"neutrophil","ENSG00000075426","neut3","FOSL2"
"neutrophil","ENSG00000075624","neut3","ACTB"
"neutrophil","ENSG00000075785","neut3","RAB7A"
"neutrophil","ENSG00000075884","neut6","ARHGAP15"
"neutrophil","ENSG00000076108","neut1","BAZ2A"
"neutrophil","ENSG00000076641","neut4","PAG1"
"neutrophil","ENSG00000076662","neut1","ICAM3"
"neutrophil","ENSG00000076685","neut5","NT5C2"
"neutrophil","ENSG00000076944","neut3","STXBP2"
"neutrophil","ENSG00000077150","neut3","NFKB2"
"neutrophil","ENSG00000077238","neut1","IL4R"
"neutrophil","ENSG00000077420","neut2","APBB1IP"
"neutrophil","ENSG00000077549","neut3","CAPZB"
"neutrophil","ENSG00000077984","neut3","CST7"
"neutrophil","ENSG00000078304","neut2","PPP2R5C"
"neutrophil","ENSG00000078369","neut3","GNB1"
"neutrophil","ENSG00000078618","neut2","NRDC"
"neutrophil","ENSG00000079246","neut2","XRCC5"
"neutrophil","ENSG00000079277","neut1","MKNK1"
"neutrophil","ENSG00000080371","neut4","RAB21"
"neutrophil","ENSG00000080815","neut5","PSEN1"
"neutrophil","ENSG00000081237","neut2","PTPRC"
"neutrophil","ENSG00000082014","neut1","SMARCD3"
"neutrophil","ENSG00000082074","neut2","FYB"
"neutrophil","ENSG00000082701","neut2","GSK3B"
"neutrophil","ENSG00000082996","neut4","RNF13"
"neutrophil","ENSG00000083168","neut2","KAT6A"
"neutrophil","ENSG00000083223","neut2","ZCCHC6"
"neutrophil","ENSG00000083828","neut2","ZNF586"
"neutrophil","ENSG00000083896","neut4","YTHDC1"
"neutrophil","ENSG00000083937","neut4","CHMP2B"
"neutrophil","ENSG00000084070","neut1","SMAP2"
"neutrophil","ENSG00000084110","neut2","HAL"
"neutrophil","ENSG00000084234","neut4","APLP2"
"neutrophil","ENSG00000084676","neut2","NCOA1"
"neutrophil","ENSG00000084731","neut1","KIF3C"
"neutrophil","ENSG00000085117","neut3","CD82"
"neutrophil","ENSG00000085274","neut2","MYNN"
"neutrophil","ENSG00000085514","neut1","PILRA"
"neutrophil","ENSG00000086061","neut5","DNAJA1"
