libId,BAD_CYCLES,MEAN_READ_LENGTH,PCT_ADAPTER,PCT_CHIMERAS,PCT_PF_READS,PCT_PF_READS_ALIGNED,PCT_READS_ALIGNED_IN_PAIRS,PF_ALIGNED_BASES,PF_HQ_ALIGNED_BASES,PF_HQ_ALIGNED_Q20_BASES,PF_HQ_ALIGNED_READS,PF_HQ_ERROR_RATE,PF_HQ_MEDIAN_MISMATCHES,PF_INDEL_RATE,PF_MISMATCH_RATE,PF_NOISE_READS,PF_READS,PF_READS_ALIGNED,READS_ALIGNED_IN_PAIRS,STRAND_BALANCE,TOTAL_READS,CODING_BASES,CORRECT_STRAND_READS,IGNORED_READS,INCORRECT_STRAND_READS,INTERGENIC_BASES,INTRONIC_BASES,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,MEDIAN_CV_COVERAGE,PCT_CODING_BASES,PCT_CORRECT_STRAND_READS,PCT_INTERGENIC_BASES,PCT_INTRONIC_BASES,PCT_MRNA_BASES,PCT_RIBOSOMAL_BASES,PCT_USABLE_BASES,PCT_UTR_BASES,PF_ALIGNED_BASES,PF_BASES,RIBOSOMAL_BASES,UTR_BASES,fastq_total_reads,reads_aligned_sam,aligned,reads_with_mult_align,algn_seg_with_mult_algn,no_feature,ambiguous,too_low_aQual,not_aligned,alignment_not_unique,PERCENT_DUPLICATION,READ_PAIRS_EXAMINED,READ_PAIR_DUPLICATES,READ_PAIR_OPTICAL_DUPLICATES,UNMAPPED_READS,UNPAIRED_READS_EXAMINED,UNPAIRED_READ_DUPLICATES,mapped_reads_w_dups
lib12367_C95GDANXX,0,55.606089,0,0,1,1,0,917060792,813868594,797585142,14636880,0.00386,0,0.000026,0.003942,0,16492328,16492328,0,0.467336,16492328,417475540,49845,0,9226549,46153407,98354639,0.881525,0.208492,0.283728,0.579426,0.455232,0.005373,0.050328,0.10725,0.833662,0.008761,0.83365,0.37843,917060792,917073862,8034428,347042897,17755711,16492331,92.9%,1855449,11.3%,1774833,298038,0,0,8122007,0.644546,0,0,0,0,16492328,10630069,0.928846
lib12368_C95GDANXX,0,55.61264,0,0,1,1,0,788883095,717461858,703151493,12901322,0.003829,0,0.000029,0.003907,0,14185527,14185527,0,0.476293,14185527,336569858,43782,0,7727219,39414944,91638920,0.867182,0.1951,0.273497,0.593202,0.426641,0.005634,0.049963,0.116163,0.823304,0.01057,0.823292,0.396663,788883095,788894602,8338624,312920881,15026328,14185530,94.4%,1284206,9.1%,1841946,201158,0,0,5444880,0.654691,0,0,0,0,14185527,9287130,0.944045
lib12369_C95GDANXX,0,55.615646,0,0,1,1,0,205160374,174544555,171082294,3138767,0.004021,0,0.000024,0.004042,0,3688957,3688957,0,0.434808,3688957,82285966,14983,0,1887721,17915357,29585908,0.881283,0.206189,0.251263,0.650194,0.401081,0.007875,0.087324,0.144209,0.756986,0.011481,0.756974,0.355905,205160374,205163726,2355540,73017620,4487482,3688960,82.2%,550191,14.9%,512797,52332,0,0,2965548,0.500152,0,0,0,0,3688957,1845041,0.822055
lib12370_C95GDANXX,0,55.619082,0,0,1,1,0,748368787,645561930,632746981,11607804,0.003833,0,0.000033,0.003891,0,13455499,13455499,0,0.444318,13455499,300599096,49068,0,7241528,51297388,81299027,0.972075,0.166172,0.206921,0.675958,0.401672,0.00673,0.068546,0.108635,0.804732,0.018088,0.804717,0.40306,748368787,748382504,13536280,301637166,14834307,13455502,90.7%,1847696,13.7%,1472553,191640,0,0,8707274,0.694332,0,0,0,0,13455499,9342590,0.907053
lib12371_C95GDANXX,0,55.613615,0,0,1,1,0,590166793,506009797,495579652,9099438,0.00349,0,0.000051,0.003561,0,10612324,10612324,0,0.455115,10612324,239642031,38799,0,5903747,39002858,58721818,0.886345,0.158737,0.211813,0.625518,0.406058,0.006529,0.066088,0.0995,0.824507,0.009905,0.824475,0.418449,590166793,590189699,5845874,246954680,11346661,10612327,93.5%,1512887,14.3%,997262,175370,0,0,7190577,0.613056,0,0,0,0,10612324,6505951,0.935282
lib12372_C95GDANXX,0,55.612439,0,0,1,1,0,379794695,283710940,277557616,5103048,0.003586,0,0.000056,0.003527,0,6829545,6829545,0,0.402448,6829545,132196105,16852,0,3306117,57684149,43302499,0.901905,0.121952,0.162619,0.627831,0.348073,0.005071,0.151882,0.114016,0.72482,0.009282,0.724796,0.376748,379794695,379807658,3525336,143086830,7493876,6829548,91.1%,1726498,25.3%,493563,91201,0,0,10956307,0.691695,0,0,0,0,6829545,4723961,0.911350
lib12373_C95GDANXX,0,55.619655,0,0,1,1,0,500854429,413897896,405585403,7442422,0.003991,0,0.000029,0.004025,0,9005138,9005138,0,0.4046,9005138,207120464,46106,0,5017366,38526074,47463887,0.980889,0.145469,0.166015,0.701327,0.413534,0.009106,0.076921,0.094766,0.806786,0.021528,0.806772,0.393251,500854429,500862671,10782502,196961631,9733344,9005141,92.5%,1562717,17.4%,722901,147194,0,0,7565998,0.636644,0,0,0,0,9005138,5733071,0.925184
lib12374_C95GDANXX,0,55.626893,0,0,1,1,0,582325569,501459761,491605499,9015293,0.004108,0,0.00004,0.004174,0,10468584,10468584,0,0.473721,10468584,258066149,24363,0,6173159,28609305,37660546,0.918202,0.137939,0.186801,0.668159,0.443165,0.003931,0.049129,0.064673,0.877993,0.008205,0.877979,0.434828,582325569,582334800,4777885,253211740,11020303,10468587,95.0%,1453292,13.9%,599715,179308,0,0,6372003,0.670625,0,0,0,0,10468584,7020489,0.949936
lib12375_C95GDANXX,0,55.618541,0,0,1,1,0,1042862885,901236741,883472871,16204801,0.004094,0,0.000044,0.004173,0,18750619,18750619,0,0.475352,18750619,451691967,50007,0,11155821,45776245,62002128,0.991047,0.115217,0.1473,0.701948,0.433127,0.004463,0.043895,0.059454,0.88675,0.009902,0.886733,0.453623,1042862885,1042882067,10326251,473066438,19818215,18750622,94.6%,2545819,13.6%,1003552,326063,0,0,10498570,0.746108,0,0,0,0,18750619,13989984,0.946131
lib12376_C95GDANXX,0,55.625994,0,0,1,1,0,632713316,546842994,536054621,9831409,0.003878,0,0.000036,0.00393,0,11374593,11374593,0,0.464847,11374593,285671025,27709,0,6679598,32275115,48069094,0.88318,0.143377,0.206182,0.644268,0.451502,0.004131,0.051011,0.075973,0.864023,0.008994,0.86401,0.412521,632713316,632723046,5690432,261007732,11935957,11374596,95.3%,1543185,13.6%,776366,183534,0,0,6946920,0.65919,0,0,0,0,11374593,7498015,0.952969
