"cellType","ensemblID","geneSet","symbol"
"eosinophil","ENSG00000180035","eos2","ZNF48"
"lymphocyte","ENSG00000167972","lymp0","ABCA3"
"lymphocyte","ENSG00000076555","lymp0","ACACB"
"lymphocyte","ENSG00000144476","lymp0","ACKR3"
"lymphocyte","ENSG00000152990","lymp0","ADGRA3"
"lymphocyte","ENSG00000169129","lymp0","AFAP1L2"
"lymphocyte","ENSG00000204147","lymp0","ASAH2B"
"lymphocyte","ENSG00000110881","lymp0","ASIC1"
"lymphocyte","ENSG00000070669","lymp0","ASNS"
"lymphocyte","ENSG00000156966","lymp0","B3GNT7"
"lymphocyte","ENSG00000182240","lymp0","BACE2"
"lymphocyte","ENSG00000176171","lymp0","BNIP3"
"lymphocyte","ENSG00000137274","lymp0","BPHL"
"lymphocyte","ENSG00000185024","lymp0","BRF1"
"lymphocyte","ENSG00000204954","lymp0","C12orf73"
"lymphocyte","ENSG00000169609","lymp0","C15orf40"
"lymphocyte","ENSG00000273045","lymp0","C2orf15"
"lymphocyte","ENSG00000174928","lymp0","C3orf33"
"lymphocyte","ENSG00000131686","lymp0","CA6"
"lymphocyte","ENSG00000196557","lymp0","CACNA1H"
"lymphocyte","ENSG00000144712","lymp0","CAND2"
"lymphocyte","ENSG00000158941","lymp0","CCAR2"
"lymphocyte","ENSG00000128596","lymp0","CCDC136"
"lymphocyte","ENSG00000174807","lymp0","CD248"
"lymphocyte","ENSG00000101224","lymp0","CDC25B"
"lymphocyte","ENSG00000148600","lymp0","CDHR1"
"lymphocyte","ENSG00000128536","lymp0","CDHR3"
"lymphocyte","ENSG00000185267","lymp0","CDNF"
"lymphocyte","ENSG00000148337","lymp0","CIZ1"
"lymphocyte","ENSG00000175505","lymp0","CLCF1"
"lymphocyte","ENSG00000187912","lymp0","CLEC17A"
"lymphocyte","ENSG00000188822","lymp0","CNR2"
"lymphocyte","ENSG00000100473","lymp0","COCH"
"lymphocyte","ENSG00000178773","lymp0","CPNE7"
"lymphocyte","ENSG00000121671","lymp0","CRY2"
"lymphocyte","ENSG00000047230","lymp0","CTPS2"
"lymphocyte","ENSG00000186104","lymp0","CYP2R1"
"lymphocyte","ENSG00000124228","lymp0","DDX27"
"lymphocyte","ENSG00000132153","lymp0","DHX30"
"lymphocyte","ENSG00000101452","lymp0","DHX35"
"lymphocyte","ENSG00000231672","lymp0","DIRC3"
"lymphocyte","ENSG00000050165","lymp0","DKK3"
"lymphocyte","ENSG00000115423","lymp0","DNAH6"
"lymphocyte","ENSG00000007923","lymp0","DNAJC11"
"lymphocyte","ENSG00000205981","lymp0","DNAJC19"
"lymphocyte","ENSG00000004975","lymp0","DVL2"
"lymphocyte","ENSG00000088881","lymp0","EBF4"
"lymphocyte","ENSG00000179151","lymp0","EDC3"
"lymphocyte","ENSG00000204371","lymp0","EHMT2"
"lymphocyte","ENSG00000255150","lymp0","EID3"
"lymphocyte","ENSG00000106263","lymp0","EIF3B"
"lymphocyte","ENSG00000065361","lymp0","ERBB3"
